DIRECTORIO;SECUENCIA_P;ORDEN;ESTRATEGIAS;EST_RADIO;EST_TELEVISION;EST_PLATAFORMAS;EST_GUIAS;EST_VISITA;EST_LLAMADA;ESCUCHA_RADIO;P1077S7;P1077S8;P1075;P1077S21;P1077S22;P1077S23;CELULAR_INTELIGENTE;P5305;CELULAR
7247782;1;5;1;2;2;1;1;2;2;2;2;1;1;2;1;2;1;2;1
7247784;1;3;1;2;2;2;2;2;1;2;1;2;2;2;2;2;1;2;1
7247784;1;5;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247792;1;3;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7247793;1;4;1;2;2;1;1;2;2;2;2;1;2;2;2;1;2;2;1
7247794;1;3;1;2;2;1;1;2;2;2;2;1;2;2;1;2;1;2;1
7247795;1;4;1;2;2;1;1;2;2;2;1;2;2;2;1;2;1;2;1
7247802;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7247802;1;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247802;1;5;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247804;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7247810;1;3;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;1
7247812;1;4;1;2;2;1;1;2;2;2;1;2;1;1;2;2;1;2;1
7247813;1;5;1;2;2;1;1;2;2;1;1;1;2;2;1;2;1;2;1
7247815;1;3;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7247815;1;4;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247816;1;3;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247816;2;3;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247816;2;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247817;1;6;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7247818;1;3;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247818;1;4;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247825;1;3;2; ; ; ; ; ; ;2;2;1;1;1;2;2;1;2;1
7247825;1;4;1;2;2;1;1;2;2;2;2;1;1;1;2;2;1;2;1
7247827;1;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1
7247828;1;3;1;2;2;1;1;2;2;2;2;1;1;2;1;2;1;2;1
7247828;1;4;1;2;2;1;1;2;2;2;2;1;1;2;1;2;1;2;1
7247829;1;2;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7247829;1;4;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7247829;1;7;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7247829;1;8;2; ; ; ; ; ; ;1;1;2;2;2;2;2;1;2;1
7247829;1;9;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7247830;1;4;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247831;1;3;2; ; ; ; ; ; ;1;1;2;1;2;2;2;1;2;1
7247831;1;4;1;2;2;1;1;2;2;1;1;2;1;2;2;2;1;2;1
7247832;1;3;1;2;2;1;1;2;2;1;2;1;1;1;2;2;1;2;1
7247833;1;2;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7247833;1;3;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7247840;1;3;1;1;2;1;1;2;2;2;2;2;1;1;2;2;1;2;1
7247843;1;3;1;2;2;1;1;2;2;2;1;2;1;2;1;2;1;2;1
7247856;1;4;1;2;2;1;1;2;2;1;1;2;2;2;1;2;2;2;1
7247858;1;4;1;1;2;1;1;2;1;2;1;2;2;2;1;2;1;2;1
7247863;1;3;1;2;2;1;1;2;2;2;1;2;1;1;2;2;1;2;1
7247865;1;2;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247866;1;3;1;1;1;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7247866;1;4;2; ; ; ; ; ; ;1;1;2;2;2;2;2;1;2;1
7247870;1;3;2; ; ; ; ; ; ;2;2;1;1;2;1;2;1;2;1
7247871;1;4;2; ; ; ; ; ; ;2;2;1;1;2;2;2;1;2;1
7247871;1;5;1;1;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7247872;1;2;1;2;2;1;1;1;1;2;2;1;1;2;1;2;1;2;1
7247873;1;3;2; ; ; ; ; ; ;1;1;2;1;1;2;2;1;2;1
7247873;1;4;1;1;2;1;1;2;1;1;1;2;1;1;2;2;1;2;1
7247874;1;2;2; ; ; ; ; ; ;2;1;2;1;2;2;2;1;1;1
7247876;1;3;1;2;2;1;1;2;2;2;2;1;1;1;2;2;1;2;1
7247876;1;4;1;2;2;1;1;2;2;2;2;1;1;1;2;2;1;2;1
7247878;1;4;1;2;2;1;1;1;1;2;2;1;1;2;1;2;1;1;1
7247883;1;3;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7247883;1;5;2; ; ; ; ; ; ;2;2;1;1;2;2;2;1;2;1
7247886;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;2;2;1
7247887;1;4;1;2;2;2;1;2;2;2;1;1;1;2;1;2;1;2;1
7247889;1;6;1;2;2;2;1;2;2;2;1;2;1;2;1;2;1;2;1
7247893;1;3;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247895;1;4;1;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1
7247898;1;6;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247900;1;4;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247900;1;5;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247901;1;5;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7247901;1;6;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7247904;1;3;1;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2
7247905;1;4;2; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2
7247907;1;3;1;2;2;2;1;1;1;2;1;2;2;2;2;2;2;2;1
7247908;1;3;1;2;2;1;2;2;2;2;2;1;1;1;1;1;1;2;1
